address,function,length,setpoint,gain,reset rate,deadband,cycle time,rate,system mode,control scheme,pump,solenoid,pressure measurement,crc rate,command response,time,binary result,categorized result,specific result
4,16,90,6.04,113,0.2668,0.52,1.26,0,0,0,1,0,?,12345,1,1418839644,0,0,0
4,16,90,15.5,113,0.3963,0.61,1.26,0,0,1,0,1,?,14388,1,1418913147,0,0,0
4,16,90,6.33,111,0.2443,0.37,0,0,0,0,0,0,?,16695,1,1418786420,1,4,12
4,16,90,1.06,112,0.389,0.78,0.91,0,2,1,0,0,?,17733,1,1418825074,0,0,0
4,16,90,2.94,116,0.2464,0.43,1.26,0,0,0,1,0,?,13620,1,1418847387,0,0,0
4,16,90,19.1,116,0.2374,0.49,0.87,0,1,1,0,0,?,12356,1,1418948011,0,0,0
4,16,90,10.4,119,0.3041,0.55,0.78,0,1,1,0,1,?,13638,1,1418789301,0,0,0
4,16,90,5.86,118,0.3462,0.77,0.87,0,0,0,1,0,?,13634,1,1418929097,0,0,0
4,16,90,11.5,117,0.894515,0.25,0.87,0,0,1,0,1,?,17462,1,1418953691,1,4,6
4,16,90,1.69,118,0.2186,0.61,1,0,0,1,0,1,?,14658,1,1418802497,0,0,0
4,16,90,2.02,114,0.2016,0.74,1.26,0,2,1,0,0,?,14146,1,1418906319,0,0,0
4,16,90,8.29,118,0.3544,0.56,1.26,0,0,0,0,0,?,14644,1,1418920440,0,0,0
4,16,90,5,119,0.2531,0.32,0.69,0,0,1,0,0,?,12599,1,1418819145,0,0,0
4,16,90,8.23,111,0.3744,0.49,0.9,0,0,1,0,1,?,14128,1,1418727561,0,0,0
4,16,90,4.84,114,0.750336,0.28,1.42,0,2,1,0,0,?,12613,1,1418759779,1,4,5
4,16,90,18.2,116,0.2678,0.36,0.87,0,2,1,0,0,?,14131,1,1418956329,0,0,0
4,16,90,18.2,114,0.3942,0.22,0.77,0,0,1,0,0,?,17731,1,1418751681,0,0,0
4,16,90,10.6,118,0.3244,0.31,0.9,0,1,1,1,0,?,14648,1,1418693729,1,3,16
4,16,90,14.6,113,0.385,0.54,1.26,0,0,1,0,0,?,17221,1,1418840415,0,0,0
4,16,90,2.16,114,0.3738,0.62,1.26,0,2,0,1,0,?,12339,1,1418916030,1,3,17
4,16,90,3.76,117,0.460273,0.37,1.26,0,2,1,0,0,?,14146,1,1418853839,1,4,6
4,16,90,14.3,114,0.3195,0.51,1.38,0,0,0,0,1,?,14389,1,1418777947,0,0,0
4,16,90,9.3,110,0.2624,0.72,0.9,0,0,0,1,0,?,17464,1,1418731497,0,0,0
4,16,90,16,119,0.2121,0.66,1.26,0,0,1,0,0,?,12592,1,1418900792,1,4,2
4,16,90,0.63,67,0.3315,0.36,1.26,0,0,0,1,1,?,12599,1,1418861968,1,4,3
4,16,90,4.84,114,0.2674,0.28,1.46,0,0,0,1,1,?,14386,1,1418759885,0,0,0
4,16,90,3.05,118,0.2852,0.79,0.87,0,2,1,1,0,?,17968,1,1418931540,0,0,0
4,16,90,1.28,116,0.779404,0.79,0.66,0,0,1,1,1,?,12853,1,1418835972,1,4,5
4,16,90,4.58,114,0.3453,0.68,0.87,0,0,1,0,1,?,12355,1,1418937797,0,0,0
4,16,90,14.7,114,0.3797,0.35,0.9,0,0,1,1,1,?,12337,1,1418742715,0,0,0
4,16,90,13.2,111,0.3999,0.6,1.26,0,0,1,1,0,?,14148,1,1418866627,0,0,0
4,16,90,19.1,110,0.2314,0.79,1.12,0,1,1,0,0,?,14649,1,1418813815,0,0,0
4,16,90,18.1,116,0.2352,0.24,1.42,0,0,1,1,0,?,17221,1,1418822976,0,0,0
4,16,90,10.5,117,0.2741,0.59,0.9,0,0,1,0,0,?,17478,1,1418730203,0,0,0
4,16,90,17.9,115,0.284,0.71,0.9,0,0,1,1,1,?,13110,1,1418744183,0,0,0
4,16,90,5.45,110,0.2678,0.36,0.87,0,0,0,1,0,?,17206,1,1418955748,0,0,0
4,16,90,4.39,117,0.3748,0.27,1.16,0,0,0,0,0,?,17463,1,1418788460,0,0,0
4,16,90,10.4,115,0.3601,0.51,1.42,0,2,1,0,1,?,13378,1,1418759623,0,0,0
4,16,90,17.3,114,0.208,0.45,1.39,0,0,0,0,0,?,17718,1,1418827792,0,0,0
4,16,90,3.41,112,0.2061,0.65,1.03,0,0,1,0,1,?,16951,1,1418767449,0,0,0
4,16,90,3.63,113,0.968705,0.61,1.26,0,0,0,1,1,?,13634,1,1418846062,1,4,6
4,16,90,2.94,118,0.2516,0.51,1.26,0,1,1,1,0,?,13880,1,1418847965,0,0,0
