address,function,length,setpoint,gain,reset rate,deadband,cycle time,rate,system mode,control scheme,pump,solenoid,pressure measurement,crc rate,command response,time,binary result,categorized result,specific result
4,16,90,15.1,113,0.2357,0.39,1.08,0,2,1,0,1,?,17209,1,1418780871,0,0,0
4,16,90,13.5,64,0.2097,0.52,0.87,0,0,0,0,0,?,12336,1,1418950050,1,4,4
4,16,90,15.1,117,0.2701,0.45,1.26,0,0,1,0,1,?,12339,1,1418877236,0,0,0
4,16,90,10.4,113,0.3505,0.44,0.9,0,0,1,0,0,?,14135,1,1418686610,0,0,0
4,16,90,4.93,114,0.2353,0.2,0.9,0,0,0,1,1,?,14128,1,1418721993,0,0,0
4,16,90,14.3,118,0.3176,0.34,1.26,0,0,1,1,1,?,17207,1,1418909398,0,0,0
4,16,90,3.18,111,0.2014,0.32,0.9,0,0,0,1,0,?,13635,1,1418732183,0,0,0
4,16,90,15.5,113,0.3083,0.38,1.26,0,2,1,0,1,?,16689,1,1418912635,0,0,0
4,16,90,8.97,114,0.3453,0.68,0.87,0,1,1,0,0,?,17461,1,1418937309,0,0,0
4,16,90,17.6,111,0.2281,0.35,1.2,0,0,1,0,0,?,13364,1,1418808106,0,0,0
4,16,90,12.6,112,0.2674,0.62,1.11,0,0,0,0,0,?,14148,1,1418925976,0,0,0
4,16,90,12.7,111,0.2963,0.3,0.87,0,0,0,1,1,?,14387,1,1418935632,0,0,0
4,16,90,8.78,116,0.2624,0.3,0.9,0,0,1,0,0,?,17202,1,1418731172,0,0,0
4,16,90,17.6,118,0.2063,0.56,0.82,0,0,0,0,1,?,17970,1,1418771915,0,0,0
4,16,90,10.4,113,0.3505,0.44,0.9,0,1,1,0,1,?,14133,1,1418687309,0,0,0
4,16,90,16.8,119,0.2716,0.79,0.87,0,0,0,1,0,?,17465,1,1418943946,0,0,0
4,16,90,10.4,113,0.3505,0.670643,0.9,0,0,0,1,1,?,13105,1,1418685921,1,4,9
4,16,90,5.21,119,0.318,0.65,1.41,0,2,1,0,0,?,13364,1,1418823402,0,0,0
4,16,90,14.7,112,0.3379,0.38,1.26,0,0,0,0,0,?,13625,1,1418918113,0,0,0
4,16,90,11.5,116,0.2852,0.62,0.87,0,1,1,1,0,?,13107,1,1418927573,1,3,16
4,16,90,12.9,67,0.2475,0.6,0.9,0,1,1,0,1,?,13369,1,1418723747,1,4,3
4,16,90,0.17,116,0.2097,0.65,0.87,0,0,0,0,0,?,14643,1,1418949911,0,0,0
4,16,90,19.5,110,0.2809,0.33,0.9,0,2,1,0,0,?,16694,1,1418706923,0,0,0
4,16,90,10.2,114,0.2861,0.63,1.26,0,0,1,0,1,?,13635,1,1418844972,0,0,0
4,16,90,0.21,113,0.2449,0.2,1.28,0,0,0,1,1,?,17988,1,1418791295,0,0,0
4,16,90,4.93,114,0.2353,0.62,0,0,0,0,1,0,?,14661,1,1418721827,1,4,12
4,16,90,38,110,0.2106,0.36,0.52,0,0,1,0,1,?,17720,1,1418825609,1,4,1
4,16,90,19.5,110,0.2809,0.33,0.9,0,2,1,0,0,?,16694,1,1418706703,0,0,0
4,16,90,19.1,116,0.2374,0.36,0.87,0,2,1,0,1,?,13113,1,1418947566,0,0,0
4,16,90,10.4,113,0.3505,0.44,0.7,0,0,1,1,1,?,12357,1,1418685683,0,0,0
4,16,90,17.2,115,0.3477,0.42,0.93,0,0,1,0,0,?,12344,1,1418801805,0,0,0
4,16,90,19.9,112,0.3083,0.41,1.26,0,0,1,1,0,?,14387,1,1418911162,0,0,0
4,16,90,1.88,119,0.2282,0.62,1.26,0,0,1,0,1,?,17220,1,1418850907,0,0,0
4,16,90,18.8,111,0.384,0.67,0.56,0,2,0,1,0,?,14393,1,1418815851,1,3,17
4,16,90,5.45,112,0.2168,0.36,0.87,0,0,0,1,0,?,13382,1,1418955642,0,0,0
4,16,90,8.36,118,0.2573,0.51,1.07,0,1,1,0,0,?,16952,1,1418784192,0,0,0
4,16,90,1.13,117,0.3677,0.69,0.51,0,1,1,1,0,?,14386,1,1418772734,1,3,16
4,16,90,14,119,0.3929,0.63,0.81,0,2,1,0,0,?,17477,1,1418754728,0,0,0
4,16,90,19.3,118,0.2821,0.45,1.26,0,0,1,0,0,?,13113,1,1418844072,0,0,0
4,16,90,8.62,113,0.3579,0.44,0.9,0,0,1,1,1,?,13105,1,1418714353,0,0,0
4,16,90,9.87,119,0.3026,0.43,1.26,0,2,1,0,1,?,13363,1,1418891251,0,0,0
4,16,90,1.3,115,0.3862,0.56,0.9,0,0,1,0,0,?,14648,1,1418689919,0,0,0
4,16,90,17.8,111,0.3955,0.44,1.26,0,0,0,1,1,?,13380,1,1418903875,0,0,0
4,16,90,8.29,118,0.3108,0.56,1.26,0,0,0,0,0,?,16961,1,1418920534,0,0,0
4,16,90,8.23,110,0.3344,0.5,0.9,0,2,1,0,1,?,12337,1,1418728593,0,0,0
4,16,90,12.5,117,0.2162,0.33,1.26,0,1,1,0,1,?,17208,1,1418874335,0,0,0
4,16,90,15.9,110,0.817089,0.78,0.87,0,0,0,1,0,?,13636,1,1418819673,1,4,6
4,16,90,9.87,114,0.3026,0.28,1.26,0,2,1,0,0,?,12870,1,1418890933,1,3,14
4,16,90,1.49,111,0.2277,0.76,0.87,0,0,0,0,0,?,13112,1,1418939719,0,0,0
4,16,90,17.1,116,0.273,0.24,1.26,0,0,1,0,1,?,17473,1,1418875874,0,0,0
4,16,90,40,110,0.2501,0.55,1.26,0,0,1,0,1,?,13617,1,1418856651,1,4,1
4,16,90,5.86,118,0.3151,0.34,0.87,0,0,0,1,0,?,14404,1,1418929331,0,0,0
4,16,90,18.8,118,0.239,0.38,1.34,0,0,1,0,0,?,13623,1,1418765358,0,0,0
4,16,90,8.23,110,0.3344,0.49,0.9,0,2,1,0,1,?,17478,1,1418728366,0,0,0
4,16,90,2.59,119,0.2337,0.35,0.56,0,0,0,0,1,?,13872,1,1418813045,0,0,0
4,16,90,6.62,113,0.3433,0.78,0.9,0,0,1,0,0,?,17731,1,1418701468,0,0,0
4,16,90,36,112,0.2055,0.37,1.26,0,2,1,0,0,?,14387,1,1418852623,1,4,2
4,16,90,18.7,119,0.2612,0.56,0,0,2,1,0,0,?,17730,1,1418863899,1,4,12
4,16,90,9.06,119,0.3664,0.74,0.87,0,0,0,0,0,?,16946,1,1418944859,0,0,0
4,16,90,1.65,116,0.3607,0.56,0.74,0,0,0,1,1,?,12850,1,1418826247,0,0,0
4,16,90,18.7,66,0.3303,0.5,1.26,0,0,1,0,0,?,13105,1,1418865150,1,4,4
4,16,90,3.44,119,0.2387,0.29,0.9,0,0,0,0,1,?,12356,1,1418720440,0,0,0
4,16,90,11.4,118,0.2667,0.39,1.15,0,0,0,0,1,?,17456,1,1418683241,0,0,0
4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,?,16707,1,1418690712,0,0,0
4,16,90,9.78,110,0.3759,0.37,0.56,0,0,0,1,0,?,13382,1,1418761737,0,0,0
4,16,90,7.73,113,0.3385,0.79,0.87,0,2,1,0,0,?,14658,1,1418931931,0,0,0
4,16,90,4.43,112,0.3494,0.63,0.68,0,0,1,1,1,?,14148,1,1418814956,0,0,0
4,16,90,0,110,0.3361,0.45,0.9,0,0,0,0,0,?,16695,1,1418732598,0,0,0
4,16,90,5.86,118,0.3462,0.77,0.87,0,0,0,1,0,?,13634,1,1418929108,0,0,0
4,16,90,9.9,112,0.3504,0.53,1.24,0,1,1,0,1,?,13123,1,1418787638,0,0,0
4,16,90,1.08,111,0.2805,0.55,1.38,0,2,1,0,0,?,14128,1,1418810386,0,0,0
4,16,90,12.2,110,0.2501,0.74,1.26,0.664445,0,0,0,1,?,14389,1,1418856960,1,4,8
4,16,90,6.53,114,0.2935,0.62,1.26,0,1,1,0,1,?,14405,1,1418902530,0,0,0
4,16,90,4.88,111,0.2607,0.49,1.26,0,0,1,0,0,?,13892,1,1418921713,0,0,0
4,16,90,1.57,113,0.3997,0.61,0.88,0,0,0,1,0,?,13633,1,1418757443,0,0,0
4,16,90,4.74,111,0.2404,0.53,0.59,0,0,1,1,1,?,17208,1,1418834748,0,0,0
4,16,90,11.5,118,0.3462,0.65,0.87,0,0,0,1,0,?,16705,1,1418928479,0,0,0
4,16,90,18.5,117,0.2449,0.31,1.35,0,0,0,1,1,?,14147,1,1418791529,0,0,0
4,16,90,17.6,110,0.2281,0.35,1.2,0,0,1,0,1,?,13364,1,1418808160,0,0,0
4,16,90,14.7,112,0.2305,0.32,1.26,0,1,1,0,1,?,17203,1,1418859119,0,0,0
4,16,90,7.01,112,0.3955,0.41,1.26,0,0,0,1,1,?,12614,1,1418904384,0,0,0
4,16,90,3.89,118,0.030722,0.79,0.87,0,2,1,1,1,?,13381,1,1418930768,1,4,6
4,16,90,7.64,119,0.334,0.78,1.26,0,0,0,1,0,?,16695,1,1418894581,0,0,0
4,16,90,1.15,115,0.2556,0.59,0.67,0,0,1,0,0,?,17219,1,1418763096,0,0,0
4,16,90,13.3,117,0.3345,0.3,1.26,0,0,0,0,0,?,14149,1,1418855211,0,0,0
4,16,90,8.02,113,0.2861,0.79,1.26,0,0,1,1,0,?,17207,1,1418846594,0,0,0
4,16,90,15.8,118,0.2592,0.48,0.9,0,0,0,1,0,?,16707,1,1418690756,0,0,0
4,16,90,2.55,111,0.2607,0.57,0.87,0,2,1,0,1,?,13889,1,1418803779,0,0,0
4,16,90,14.9,114,0.2944,0.48,0.53,0,0,1,1,0,?,12614,1,1418771601,0,0,0
4,16,90,18.5,115,0.3313,0.27,1.31,0,1,1,0,1,?,16706,1,1418922812,0,0,0
4,16,90,16.4,114,0.2935,0.47,1.26,0,1,1,0,1,?,17730,1,1418902621,0,0,0
4,16,90,3.76,117,0.3306,0.22,1.26,0.0122245,0,1,0,0,?,12865,1,1418854707,1,4,8
4,16,90,1.9,118,0.3071,0.58,1.24,0,1,0,0,0,?,17457,1,1418804754,1,3,15
4,16,90,5.03,118,0.3108,0.56,1.26,0,0,0,0,1,?,17712,1,1418920755,0,0,0
4,16,90,17.1,116,0.273,0.24,1.26,0,0,0,0,1,?,17474,1,1418875670,0,0,0
4,16,90,15.6,110,0.3475,0.25,1.26,0,0,1,0,0,?,14132,1,1418907804,0,0,0
4,16,90,11.9,110,0.267,0.35,2.67349,0,0,0,1,1,?,17976,1,1418838931,1,4,11
4,16,90,15,116,0.3484,0.49,0.9,0,0,0,0,0,?,17989,1,1418718978,0,0,0
4,16,90,8.23,113,0.371,0.49,0.9,0,0,1,0,1,?,17459,1,1418727267,0,0,0
4,16,90,6.28,110,0.3874,0.39,1.26,0,0,1,0,1,?,13381,1,1418914454,0,0,0
4,16,90,16.2,119,0.3749,0.46,0.68,0,2,1,0,1,?,16949,1,1418925436,0,0,0
4,16,90,0,118,0.2961,0.26,1.36,0,0,0,0,0,?,13636,1,1418783341,1,4,2
4,16,90,16.2,111,0.312,0.6,1.26,0,0,1,0,1,?,17729,1,1418866246,0,0,0
4,16,90,9.05,114,0.2047,0.44,1.26,0,2,1,0,1,?,13893,1,1418901597,0,0,0
4,16,90,9.29,113,0.3805,0.77,1.26,0,0,0,0,0,?,14661,1,1418899153,0,0,0
4,16,90,0.38,116,0.3857,0.38,1.39,0,0,0,0,0,?,12851,1,1418795008,0,0,0
