command_address,response_address,command_memory,response_memory,command_memory_count,response_memory_count,comm_read_function,resp_read_fun,resp_write_fun,sub_function,resp_length,setpoint,control_mode,control_scheme,pump,solenoid,measurement,time,result
4,0,183,0,9,0,3,3,0,0,123,20,0,1,0,0,0.0,1.002653,7
4,4,183,233,9,18,3,1,10,0,19,20,0,1,0,0,0.252874,1.180919,0
4,4,183,233,9,18,3,3,10,0,19,20,2,1,0,0,0.62069,1.0671059999999999,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,-6.22e+28,1.245835,1
4,4,183,233,9,18,3,3,10,0,19,20,2,1,1,0,23.919539999999998,1.062506,0
4,4,183,233,9,18,3,1,10,0,19,20,2,1,0,0,10.0,1.042347,2
4,4,183,233,9,18,3,3,10,0,19,20,2,1,0,0,5.609195,1.146477,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,0.241379,1.220393,0
4,4,183,233,9,18,3,1,10,0,19,20,2,1,0,0,11.0,1.12246,2
4,4,183,233,9,18,3,3,10,0,19,70,0,1,0,0,0.264368,1.146801,4
4,4,183,233,9,18,3,3,10,0,19,20,2,1,0,0,10.873564,1.159626,0
4,4,183,233,9,18,3,3,10,0,19,70,0,1,0,0,0.264368,1.0572270000000001,4
4,4,183,233,9,18,3,1,10,0,19,20,0,1,0,0,0.22988499999999998,1.007107,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,-8.77e+35,1.121319,1
4,4,183,233,9,18,3,1,10,0,19,20,0,1,0,0,0.252874,1.121024,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,0.241379,1.024218,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,0.241379,1.162124,0
4,0,183,0,9,0,3,3,0,0,123,20,0,1,0,0,0.0,1.004732,7
4,4,183,233,9,18,3,3,10,0,19,90,2,1,0,0,1.310345,1.218787,4
4,4,183,233,9,18,3,3,10,0,19,20,2,1,0,0,0.551724,1.0456290000000001,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,-5.76e+19,1.186664,1
4,0,183,0,9,0,3,3,0,0,123,20,0,1,0,0,0.0,1.005156,7
4,4,183,233,9,18,3,1,10,0,19,20,2,1,0,0,10.875,1.177288,2
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,0.241379,1.178976,0
4,0,183,0,9,0,3,3,0,0,123,20,0,1,0,0,0.0,1.005898,7
4,4,183,233,9,18,3,1,10,0,19,20,2,1,0,0,20.103448999999998,1.132223,0
4,4,183,233,9,18,3,1,10,0,19,20,2,1,0,0,8.3125,1.06123,2
4,4,183,233,9,18,3,1,10,0,19,20,2,1,0,0,19.379310999999998,1.014006,0
4,4,183,233,9,18,3,3,10,0,19,20,0,1,0,0,0.20689699999999997,1.024174,0
4,4,183,233,9,18,3,3,10,0,19,20,2,1,0,0,2.666667,1.293971,0
